username, created_at, lng, lat, text
PartyPlanner777, Mon Feb 01 23:06:04 +0000 2021, -83.804475, 27.698682, Now (A)to Him who is able to do exceedingly abundantly (B)above all that we ask or think, (C)according to the power… https://t.co/CkAQ0ozSyG 
D0cCupCake, Mon Feb 01 23:06:04 +0000 2021, -83.804475, 27.698682, @BigDawgMills Right 
heymadisonwho, Mon Feb 01 23:06:04 +0000 2021, -119.306608, 37.269176, ( ˘⌣˘)♡(˘⌣˘ ) https://t.co/o9VzHdW07C 
rabb1teatsmeat, Mon Feb 01 23:06:04 +0000 2021, -73.831187, 40.670879, @milkesheique corona refresca lmfao 
UenoTatsuki, Mon Feb 01 23:06:04 +0000 2021, -122.595742, 45.345124, なんと！！！260人を突破しました！僕の小学校の全校生徒くらいいる！😂凄い！皆さんのご視聴、リクエスト、アドバイスのおかげです！本当にありがとうございます！まだまだ行きます！https://t.co/xI6TdHVzCE 
data_voyager, Mon Feb 01 23:06:04 +0000 2021, -122.330602, 47.614817, Like really I spent a lot of money trying to recreate @Zendaya's suit game and came out looking like freaking Shrek… https://t.co/mfVTOp0CuV 
PsychBrownBag, Mon Feb 01 23:06:04 +0000 2021, -74.419331, 40.429227, This was a tremendous presentation! 
QuakesToday, Mon Feb 01 23:06:04 +0000 2021, -98.980000, 36.560000, 2.2 magnitude #earthquake. 24 km from #Mooreland, OK, United States https://t.co/fJLDNAPvva 
RFlores91, Mon Feb 01 23:06:05 +0000 2021, -111.931711, 34.168253, Thx Courtney! 
jmuru_, Mon Feb 01 23:06:05 +0000 2021, -73.948775, 40.655138, Focusing was so hard today mannn I was stressed out and everything over it. I could not read code for my life. 😩 
lookybenassi, Mon Feb 01 23:06:05 +0000 2021, -80.457202, 25.671741, 1. All my songs have stars on them (not like you relate) 2. You must’ve forgot I was going to take you out but did… https://t.co/uvLDGnjYmE 
laurenskahn, Mon Feb 01 23:06:05 +0000 2021, -77.203885, 38.937486, That's an excellent book. I read it when it 1st came out. I was a #PolioPioneer in the vaccine trial in 2d grade. 
emasso, Mon Feb 01 23:06:05 +0000 2021, -117.124000, 33.503300, Just posted a photo @ Temecula, California https://t.co/nLuxoJ7bag 
InEveryWordISay, Mon Feb 01 23:06:05 +0000 2021, -80.100691, 40.477290, When you fall down a tattoo Youtube hole and you cry because you want more 
1Ambzz, Mon Feb 01 23:06:05 +0000 2021, -83.173867, 32.678207, @dw_momma Factsss 
IsaiahRobledo15, Mon Feb 01 23:06:05 +0000 2021, -95.446486, 29.838495, https://t.co/ibc1RdbaBF 
demetriesii, Mon Feb 01 23:06:05 +0000 2021, -73.948775, 40.655138, yes Mississippi!! 
gracedavanzo, Mon Feb 01 23:06:05 +0000 2021, -87.732013, 41.833585, @annepliese Then it’s directly correlated to how early you were given unsupervised internet access 
nhatkp, Mon Feb 01 23:06:05 +0000 2021, -83.173867, 32.678207, I will stamp tf outta this. She’s cute tho. 
NotJacobWelty, Mon Feb 01 23:06:05 +0000 2021, -86.791549, 36.200008, @Roll_MF_Tide Milton is a great name 
rhondajh1, Mon Feb 01 23:06:05 +0000 2021, -81.612508, 30.094251, New Auburn QB! https://t.co/UXun2XyPpMvia https://t.co/k0vrDsRLw1 
KathyAlbers, Mon Feb 01 23:06:06 +0000 2021, -86.680738, 32.576227, @HeyNurse_lb Good luck!  Great bones! 
Henson_14, Mon Feb 01 23:06:06 +0000 2021, -98.716992, 35.309047, No way... Was the absolute highlight of Saved by The Bell. Tough to see. 
MrB_EKESPE, Mon Feb 01 23:06:06 +0000 2021, -71.566171, 44.001230, @PhysedQueen78 Deck tennis rings!! 
forzarevilo, Mon Feb 01 23:06:06 +0000 2021, -118.411907, 34.020789, @American_red13 Nope 
MagounSquare, Mon Feb 01 23:06:06 +0000 2021, -71.103722, 42.395403, #Somerville friends, please take the time to read through @EricRobbert’s petition &amp; sign in support. This gentleman… https://t.co/2UN8T8xdU0 
